[2025-11-24 18:22:43] REGISTRO → Robot 0
[2025-11-24 18:22:43] REGISTRO → Robot 1
[2025-11-24 18:22:43] REGISTRO → Robot 2
[2025-11-24 18:23:26] REGISTRO → Robot 0
[2025-11-24 18:23:26] REGISTRO → Robot 1
[2025-11-24 18:23:26] REGISTRO → Robot 2
[2025-11-24 18:23:44] REGISTRO → Robot 0
[2025-11-24 18:23:44] REGISTRO → Robot 1
[2025-11-24 18:23:44] REGISTRO → Robot 2
[2025-11-24 18:25:14] REGISTRO → Robot 0
[2025-11-24 18:25:14] REGISTRO → Robot 1
[2025-11-24 18:25:14] REGISTRO → Robot 2
[2025-11-24 18:25:15] ENVIADO → id=1, ang=0.0, dist=0.0, Out=1
[2025-11-24 18:26:40] REGISTRO → Robot 0
[2025-11-24 18:26:40] REGISTRO → Robot 1
[2025-11-24 18:26:40] REGISTRO → Robot 2
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-48.43850513862611, dist=0.6280735479412636, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=110.45388398474773, dist=0.6280735479412636, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.30426777806065, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.90145550988223, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-67.5278898788304, dist=0.6539962462179919, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=111.13186371848525, dist=0.6539962462179919, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-63.546551317949934, dist=0.6464714777043755, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=67.39024216574012, dist=0.6464714777043755, Out=1
